,Country,Year,Value,Continent
125,Belgium,2018,105.765125,Europe
126,Belgium,2019,106.58340833333334,Europe
127,Belgium,2020,109.65483333333333,Europe
128,Belgium,2021,109.22255,Europe
129,Belgium,2022,116.82782222222221,Europe
130,Bhutan,2010,64.39768216666667,Asia
131,Bhutan,2011,70.97156458333333,Asia
132,Bhutan,2012,80.57995366666667,Asia
133,Bhutan,2013,87.96873699999999,Asia
134,Bhutan,2014,96.83696516666667,Asia
135,Bhutan,2015,100.00814733333333,Asia
136,Bhutan,2016,104.027745,Asia
137,Bhutan,2017,111.78707033333335,Asia
138,Bhutan,2018,117.3118735,Asia
139,Bhutan,2019,121.584109,Asia
140,Bhutan,2020,135.15420874999998,Asia
141,Bhutan,2021,147.389767,Asia
142,Bhutan,2022,153.2053448888889,Asia
143,Bosnia and Herzegovina,2010,95.8687405,Europe
144,Bosnia and Herzegovina,2011,101.64024641666667,Europe
145,Bosnia and Herzegovina,2012,103.41623083333333,Europe
146,Bosnia and Herzegovina,2013,103.46917425,Europe
147,Bosnia and Herzegovina,2014,100.70930491666667,Europe
148,Bosnia and Herzegovina,2015,100.0,Europe
149,Bosnia and Herzegovina,2016,98.66883333333334,Europe
150,Bosnia and Herzegovina,2017,99.97550833333332,Europe
151,Bosnia and Herzegovina,2018,100.581575,Europe
152,Bosnia and Herzegovina,2019,101.671375,Europe
153,Bosnia and Herzegovina,2020,102.71139166666667,Europe
154,Bosnia and Herzegovina,2021,106.34513333333332,Europe
155,Bosnia and Herzegovina,2022,126.4416888888889,Europe
156,Bulgaria,2010,88.92013049999998,Europe
157,Bulgaria,2011,95.08594525000001,Europe
158,Bulgaria,2012,97.94143174999999,Europe
159,Bulgaria,2013,100.67358341666666,Europe
160,Bulgaria,2014,99.68242925,Europe
161,Bulgaria,2015,100.00659875000001,Europe
162,Bulgaria,2016,99.77315558333333,Europe
163,Bulgaria,2017,103.75165199999999,Europe
164,Bulgaria,2018,106.03092149999999,Europe
165,Bulgaria,2019,111.53415208333332,Europe
166,Bulgaria,2020,117.51797316666666,Europe
167,Bulgaria,2021,120.77808225,Europe
168,Bulgaria,2022,143.6779818888889,Europe
169,Cambodia,2010,80.32037749999999,Asia
170,Cambodia,2011,85.52864941666667,Asia
171,Cambodia,2012,88.239713,Asia
172,Cambodia,2013,91.66408266666667,Asia
173,Cambodia,2014,96.144921,Asia
174,Cambodia,2015,100.01284533333335,Asia
175,Cambodia,2016,105.606004,Asia
176,Cambodia,2017,109.18388800000001,Asia
177,Cambodia,2018,111.86396708333332,Asia
178,Cambodia,2019,114.18010925,Asia
179,Cambodia,2020,119.48582441666667,Asia
180,Cambodia,2021,122.76763833333332,Asia
181,Cambodia,2022,128.7993891111111,Asia
182,Croatia,2010,91.45833333333333,Europe
183,Croatia,2011,94.69166666666666,Europe
184,Croatia,2012,98.2,Europe
185,Croatia,2013,101.85000000000001,Europe
186,Croatia,2014,99.61666666666667,Europe
187,Croatia,2015,100.00833333333333,Europe
188,Croatia,2016,99.53333333333335,Europe
189,Croatia,2017,102.43333333333334,Europe
190,Croatia,2018,103.45,Europe
191,Croatia,2019,103.325,Europe
192,Croatia,2020,105.31666666666666,Europe
193,Croatia,2021,107.02499999999999,Europe
194,Croatia,2022,121.63333333333334,Europe
195,Cyprus,2010,96.56664083333334,Europe
196,Cyprus,2011,100.50544158333334,Europe
197,Cyprus,2012,101.32572675,Europe
198,Cyprus,2013,101.53714041666666,Europe
199,Cyprus,2014,100.06049683333333,Europe
200,Cyprus,2015,100.00000016666667,Europe
201,Cyprus,2016,99.74000000000001,Europe
202,Cyprus,2017,99.44916666666667,Europe
203,Cyprus,2018,100.17166666666667,Europe
204,Cyprus,2019,100.70916666666666,Europe
205,Cyprus,2020,101.93833333333333,Europe
206,Cyprus,2021,101.54598349999999,Europe
207,Cyprus,2022,109.09444444444445,Europe
208,Denmark,2010,91.7,Europe
209,Denmark,2011,95.33333333333333,Europe
210,Denmark,2012,99.425,Europe
211,Denmark,2013,99.85000000000001,Europe
212,Denmark,2014,98.98333333333333,Europe
213,Denmark,2015,100.00833333333333,Europe
214,Denmark,2016,100.10833333333333,Europe
215,Denmark,2017,102.91666666666667,Europe
216,Denmark,2018,102.95833333333333,Europe
217,Denmark,2019,104.39166666666667,Europe
218,Denmark,2020,105.05833333333334,Europe
219,Denmark,2021,105.66666666666667,Europe
220,Denmark,2022,116.26666666666668,Europe
221,Estonia,2010,84.75338916666666,Europe
222,Estonia,2011,92.95964,Europe
223,Estonia,2012,96.5237025,Europe
224,Estonia,2013,100.52435750000001,Europe
225,Estonia,2014,100.5421875,Europe
226,Estonia,2015,99.99999583333333,Europe
227,Estonia,2016,100.03875916666668,Europe
228,Estonia,2017,105.75909166666666,Europe
229,Estonia,2018,108.94892499999999,Europe
230,Estonia,2019,112.25011666666667,Europe
231,Estonia,2020,114.65143333333333,Europe
232,Estonia,2021,116.75866666666667,Europe
233,Estonia,2022,135.9189111111111,Europe
234,Finland,2010,86.42298583333333,Europe
235,Finland,2011,91.85282416666666,Europe
236,Finland,2012,96.59196250000001,Europe
237,Finland,2013,101.74739416666667,Europe
238,Finland,2014,101.90080833333333,Europe
239,Finland,2015,99.99583333333334,Europe
240,Finland,2016,98.85000000000001,Europe
241,Finland,2017,97.94583333333333,Europe
242,Finland,2018,99.83749999999999,Europe
243,Finland,2019,101.0475,Europe
244,Finland,2020,102.72500000000001,Europe
245,Finland,2021,103.31,Europe
246,Finland,2022,112.03777777777778,Europe
247,France,2010,94.63083333333333,Europe
248,France,2011,96.51083333333334,Europe
249,France,2012,99.29916666666666,Europe
250,France,2013,100.44083333333333,Europe
251,France,2014,99.59833333333334,Europe
252,France,2015,100.0,Europe
253,France,2016,100.55416666666667,Europe
254,France,2017,101.6475,Europe
255,France,2018,103.6475,Europe
256,France,2019,106.18583333333333,Europe
257,France,2020,108.3325,Europe
258,France,2021,108.99833333333333,Europe
259,France,2022,114.82333333333334,Europe
260,Georgia,2010,82.99507316666667,Europe
261,Georgia,2011,96.3075915,Europe
262,Georgia,2012,91.98479383333334,Europe
263,Georgia,2013,91.33426475,Europe
264,Georgia,2014,96.017745,Europe
265,Georgia,2015,100.01002183333333,Europe
266,Georgia,2016,101.65770191666667,Europe
267,Georgia,2017,108.54414783333334,Europe
268,Georgia,2018,110.9425875,Europe
269,Georgia,2019,119.96046416666667,Europe
270,Georgia,2020,132.57663983333333,Europe
271,Georgia,2021,146.90887691666666,Europe
272,Georgia,2022,170.5947031111111,Europe
273,Germany,2010,89.15541333333334,Europe
274,Germany,2011,91.6144125,Europe
275,Germany,2012,94.73459000000001,Europe
276,Germany,2013,98.38965333333333,Europe
